instance,weeks,employees,shift_types,best_known_lower_bound,best_known_solution,lower_bound_equals_solution
Instance1,2,8,1,607,607,yes
Instance2,2,14,2,828,828,yes
Instance3,2,20,3,1001,1001,yes
Instance4,4,10,2,1716,1716,yes
Instance5,4,16,2,1143,1143,yes
Instance6,4,18,3,1950,1950,yes
Instance7,4,20,3,1056,1056,yes
Instance8,4,30,4,1300,1300,yes
Instance9,4,36,4,439,439,yes
Instance10,4,40,5,4631,4631,yes
Instance11,4,50,6,3443,3443,yes
Instance12,4,60,10,4040,4040,yes
Instance13,4,120,18,1348,1348,yes
Instance14,6,32,4,1278,1278,yes
Instance15,6,45,6,3828,3828,yes
Instance16,8,20,3,3225,3225,yes
Instance17,8,32,4,5746,5746,yes
Instance18,12,22,3,4459,4459,yes
Instance19,12,40,5,3149,3149,yes
Instance20,26,50,6,4769,4769,yes
Instance21,26,100,8,21133,21133,yes
Instance22,52,50,10,30241,30241,yes
Instance23,52,100,16,17285,17285,yes
Instance24,52,150,32,40438,40439,no
